n_instances,best_train_runtime,predicted_test_runtime,default_test_runtime,param_MIPFocus,param_Heuristics,param_VarBranch
3,0.018338918685913086,0.035725673039754234,0.03297305107116699,1,0,3
4,0.011952757835388184,0.04585878054300944,0.03653860092163086,1,0,1
5,0.023886585235595705,0.026262998580932617,0.06647936503092448,2,0,2
6,0.015715877215067547,0.025186777114868164,0.02964329719543457,0,0,0
7,0.023268393107822964,0.20641843477884927,0.0746467113494873,0,0,-1
8,0.02648824453353882,0.05454659461975098,0.04353459676106771,1,0,1
9,0.01884256468878852,0.08870530128479004,0.07876324653625488,0,0,1
10,0.023689007759094237,0.026905298233032227,0.014400402704874674,0,0,-1
11,0.021301074461503464,0.06741174062093098,0.05132627487182617,1,0,3
12,0.021562000115712483,0.07661374409993489,0.025614341100056965,1,0,0
13,0.020934269978449896,0.02431631088256836,0.03014238675435384,1,0,0
14,0.018832870892116,0.024562994639078777,0.0297396977742513,0,0,-1
15,0.024263954162597655,0.018395423889160156,0.02444767951965332,0,0,1
16,0.016218528151512146,0.055955966313680015,0.021022558212280273,0,0,0
17,0.018252919701968923,0.049085378646850586,0.05051708221435547,0,0,1
18,0.017268233829074435,0.014465888341267904,0.018094698588053387,0,0,-1
19,0.020021049599898488,0.04605539639790853,0.024907350540161133,0,0,0
20,0.022112810611724855,0.1332089900970459,0.04695892333984375,0,0,1
21,0.020608027776082356,0.025039513905843098,0.021207014719645183,0,0,-1
22,0.02111949703910134,0.18049724896748862,0.0765833854675293,0,0,1
23,0.021931254345437756,0.023790756861368816,0.016456445058186848,0,0,1
24,0.020781079928080242,0.04302573204040527,0.031099716822306316,1,0,-1
25,0.020353670120239257,0.05072172482808431,0.039348999659220375,1,0,1
26,0.017459924404437725,0.021031300226847332,0.01544499397277832,0,0,2
27,0.025312935864483868,0.02422952651977539,0.020488739013671875,1,0,-1
28,0.024787494114467075,0.12744800249735513,0.04173890749613444,0,0,-1
29,0.019790337003510575,0.06937305132548015,0.04970097541809082,0,0,-1
30,0.017501401901245116,0.01937135060628255,0.02545793851216634,0,0,1
31,0.019364203176190777,0.01839470863342285,0.01949000358581543,1,0,-1
32,0.019614800810813904,0.07932305335998535,0.0639510949452718,1,0,-1
33,0.021342118581136067,0.07470329602559407,0.06018670399983724,0,0,1
34,0.02304800818948185,0.04923264185587565,0.04179811477661133,0,0,-1
35,0.019695281982421875,0.06142139434814453,0.03333163261413574,1,0,1
36,0.020048883226182725,0.046076059341430664,0.05627663930257162,1,0,1
37,0.017837833713840793,0.06705737113952637,0.04265427589416504,0,0,-1
38,0.01809574428357576,0.01830403010050456,0.016832987467447918,0,0,1
39,0.0263671875,0.03962032000223795,0.034332990646362305,1,0,0
40,0.02036871910095215,0.04988702138264974,0.03130634625752767,0,0,0
41,0.02244038116641161,0.03404672940572103,0.03415457407633463,0,0,-1
42,0.022590671266828264,0.12123894691467285,0.04678694407145182,0,0,-1
43,0.022546712742295374,0.03726458549499512,0.018759886423746746,1,0,-1
44,0.02157348394393921,0.02065587043762207,0.026406288146972656,0,0,0
45,0.021202076805962457,0.05160808563232422,0.05065997441609701,0,0,1
46,0.022225390309872833,0.03266533215840658,0.026106834411621094,1,0,1
47,0.02001014161617198,0.1002957026163737,0.05456837018330892,0,0,1
48,0.019946038722991943,0.024959723154703777,0.026567379633585613,1,0,-1
49,0.021930923267286653,0.0371700127919515,0.03150439262390137,0,0,1
